t,ax,ay,az,gx,gy,gz
1121441481,0.1079,-0.0059,0.9747,-13.4888,-7.9346,3.3569
1121451477,0.1294,0.0019,1.0333,-13.3667,-13.3057,2.0752
1121461500,0.0962,0.0029,1.0574,-4.6387,-21.0571,-5.3711
1121471480,0.0454,-0.0084,1.0152,0.4883,-22.9492,-8.4229
1121481480,-0.0286,-0.0303,0.9327,3.7842,-16.7236,-9.9487
1121491480,-0.0752,-0.0286,0.8353,2.2583,-8.1787,-6.9580
1121501476,-0.1106,-0.0416,0.7525,-3.2349,-1.2207,-7.3242
1121511485,-0.1724,-0.0604,0.7405,-9.0332,0.3052,-7.9956
1121521481,-0.2529,-0.0662,0.7547,-17.2729,-1.8311,-6.4087
1121531480,-0.3115,-0.0713,0.8121,-23.1934,0.9766,-5.3711
1121541480,-0.4133,-0.0596,0.8507,-25.6958,5.9814,-0.8545
1121551482,-0.4822,-0.0611,0.9041,-28.4424,5.9204,3.6011
1121561481,-0.5032,-0.0467,1.0040,-27.2217,3.7842,14.4653
1121571480,-0.4763,-0.0430,1.0313,-22.4609,0.6714,23.8647
1121581481,-0.3591,-0.0538,1.0384,-17.5171,-1.5869,33.6304
1121591482,-0.3074,-0.0660,1.0230,-15.1367,-3.2349,35.8276
1121601485,-0.2864,-0.0799,1.0264,-14.5874,-4.0283,34.0576
1121611481,-0.2952,-0.0855,1.0469,-13.9160,-2.5635,33.0200
1121621481,-0.3442,-0.1089,1.0201,-10.6201,0.4883,31.7383
1121631480,-0.4043,-0.1031,0.9881,-11.0474,0.4883,31.9214
1121641485,-0.4819,-0.1006,1.0032,-14.6484,-1.4038,34.0576
1121651482,-0.5339,-0.0960,1.0499,-18.7378,0.1221,46.5698
1121661485,-0.4976,-0.0865,1.0970,-19.7144,2.3193,55.7861
1121671485,-0.4355,-0.1109,1.1495,-19.3481,6.2256,66.5283
1121681480,-0.3943,-0.1231,1.1837,-18.4937,8.1787,71.8384
1121691485,-0.3369,-0.1771,1.2537,-17.5781,10.6812,77.5757
1121701480,-0.2617,-0.1893,1.3048,-15.1978,12.4512,79.5898
1121711481,-0.2285,-0.2002,1.3253,-8.6060,11.9629,76.2329
1121721485,-0.2620,-0.2103,1.3301,-6.5918,10.7422,74.5239
1121731481,-0.2800,-0.2054,1.3482,-5.7373,9.8877,79.8950
1121741485,-0.3147,-0.1746,1.3699,-6.0425,1.4038,84.7168
1121751480,-0.2678,-0.1788,1.4732,-5.5542,-20.2026,97.8394
1121761485,-0.1367,-0.1817,1.5313,-0.2441,-36.6821,104.6753
1121771480,-0.0442,-0.2049,1.5562,14.1602,-52.0020,101.4404
1121781481,0.0110,-0.2212,1.4986,21.8506,-41.6260,100.5249
1121791480,0.0232,-0.2398,1.4322,26.9165,-9.4604,94.5435
1121801480,-0.0005,-0.2566,1.3731,30.7617,11.6577,93.8721
1121811480,-0.0415,-0.2320,1.2701,32.0435,26.1230,95.4590
1121821485,-0.0325,-0.2317,1.2586,28.9917,23.4985,97.3511
1121831481,0.0820,-0.2295,1.3638,20.8740,8.5449,106.3843
1121841480,0.1685,-0.2220,1.4102,21.9116,-2.0142,107.2998
1121851481,0.2334,-0.2151,1.5257,22.7051,-14.2212,102.5391
1121861481,0.2022,-0.2122,1.5716,30.5176,-20.4468,95.7031
1121871503,0.1465,-0.2266,1.5674,38.4521,-21.3013,93.9331
1121881480,0.1157,-0.2046,1.5003,49.0112,-9.9487,96.8628
1121891485,0.1423,-0.1944,1.4068,55.7251,-2.9907,99.2432
1121901484,0.1521,-0.2061,1.3621,59.0820,-2.8687,96.0693
1121911480,0.2261,-0.1761,1.3887,59.9365,-4.1504,98.3276
1121921480,0.2825,-0.1956,1.4146,65.8569,-16.0522,93.3838
1121931479,0.3130,-0.2046,1.4210,69.7021,-26.5503,91.3086
1121941485,0.3743,-0.2066,1.4229,73.3032,-30.6396,89.5386
1121951479,0.4268,-0.1961,1.3951,73.3032,-26.5503,89.5996
1121961489,0.4714,-0.1441,1.4124,69.3970,-17.0288,88.5010
1121971484,0.5007,-0.1146,1.4730,68.9697,-14.4043,87.0361
1121981482,0.5879,-0.1148,1.5728,72.5708,-22.4609,85.8765
1121991479,0.6631,-0.1233,1.6458,76.7822,-32.8979,84.5947
1122001480,0.7849,-0.1060,1.7398,90.6982,-50.8423,78.9795
1122011479,0.8887,-0.1094,1.7335,103.7598,-60.6689,75.2563
1122021482,1.0242,-0.1006,1.6553,123.2910,-71.9604,66.1011
1122031479,1.1392,-0.1124,1.5765,133.8501,-72.8760,59.0820
