t,ax,ay,az,gx,gy,gz
353893485,0.2253,0.1290,0.9955,6.0425,-7.1411,-3.4180
353903480,0.2214,0.1312,1.0004,5.7373,-2.0752,-3.4790
353913478,0.2392,0.1251,1.0138,8.9111,2.0752,-6.3477
353923485,0.2404,0.1259,1.0175,10.1318,2.6855,-5.7983
353933486,0.2485,0.1224,1.0114,8.3008,-4.1504,0.7324
353943481,0.2490,0.1129,0.9833,5.3711,-12.4512,3.8452
353953481,0.2443,0.1083,0.9860,2.8076,-15.8081,-0.5493
353963480,0.2492,0.1266,1.0043,4.1504,-17.8223,-6.5308
353973481,0.2810,0.1283,1.0485,7.3853,-30.6396,-4.6997
353983485,0.3061,0.1105,1.0675,8.0566,-37.7197,-0.3662
353993481,0.3017,0.1071,1.0255,3.2349,-48.4009,-4.6997
354003485,0.2854,0.1251,1.0221,1.5869,-52.3682,-11.7187
354013482,0.2766,0.1447,1.0170,0.8545,-55.2368,-14.8315
354023482,0.2758,0.1351,1.0092,0.3662,-53.1006,-13.7329
354033482,0.2710,0.1259,0.9845,-3.7231,-50.7202,-16.0522
354043480,0.2944,0.1193,0.9884,-6.7139,-51.7578,-15.5029
354053482,0.3237,0.1322,1.0021,-12.5732,-61.9507,-11.2915
354063485,0.3457,0.1278,1.0216,-15.0146,-72.3267,-7.4463
354073481,0.3818,0.1056,1.0399,-12.8784,-85.3882,3.4180
354083485,0.4118,0.1185,1.0229,-13.2446,-94.6655,5.4932
354093481,0.4545,0.0761,1.0190,-17.5781,-122.8638,1.9531
354103480,0.4609,0.0836,0.9980,-18.5547,-150.5127,6.4697
354113481,0.4753,0.1007,0.9875,-21.9116,-200.0732,19.8975
354123480,0.4912,0.1000,0.9743,-25.2075,-210.2051,25.1465
354133482,0.5014,0.0992,0.9464,-29.5410,-208.0688,21.9116
354143480,0.5073,0.1095,0.9264,-31.9824,-201.0498,14.4043
354153481,0.5183,0.1183,0.9176,-29.9683,-204.6509,15.0146
354163485,0.5634,0.1051,0.9276,-23.2544,-183.7158,27.3438
354173482,0.5766,0.0931,0.9079,-23.1934,-158.6914,27.3438
354183485,0.5820,0.0712,0.8949,-23.2544,-158.6914,18.1885
354193482,0.6257,0.0761,0.8847,-17.0288,-155.7007,22.0947
354203481,0.6491,0.0524,0.8498,-11.9019,-155.0903,24.5972
