t,ax,ay,az,gx,gy,gz
332779481,-0.5236,0.0328,0.9098,-14.6484,-15.3809,-6.8970
332789482,-0.4995,0.0413,0.9020,-18.9209,-9.1553,-3.3569
332799481,-0.4924,0.0287,0.9210,-22.7051,-8.3618,-8.5449
332809487,-0.5222,0.0035,0.9723,-24.3530,-12.4512,-12.0850
332819476,-0.5295,0.0045,1.0473,-19.2261,-17.0288,-10.7422
332829482,-0.5168,0.0050,1.0563,-9.5215,-19.1650,-9.6436
332839487,-0.5104,0.0042,0.9923,-0.3052,-10.9253,-9.5215
332849482,-0.5063,0.0059,0.9281,1.4648,-4.3945,-7.4463
332859486,-0.4960,-0.0016,0.8871,-6.4087,-4.5166,-4.3945
332869482,-0.5046,-0.0067,0.9193,-12.6953,-11.9019,-2.2583
332879486,-0.4772,0.0006,0.9230,-11.1694,-19.8975,2.5635
332889486,-0.4252,0.0157,0.9142,-10.0098,-38.9404,4.3335
332899482,-0.4328,0.0033,0.8864,-7.2632,-58.2886,1.5259
332909482,-0.4807,-0.0136,0.8759,-6.7139,-102.3560,4.8828
332919482,-0.5029,-0.0099,0.8798,-5.3101,-133.3618,4.6387
332929482,-0.4658,-0.0082,0.9269,1.0376,-181.8848,9.7656
332939487,-0.4562,0.0133,0.9887,4.8218,-199.7681,7.0190
332949482,-0.3264,0.0113,0.9054,9.8267,-184.2651,17.6392
332959477,-0.2473,0.0255,0.9008,0.6714,-182.4951,17.7002
332969483,-0.3195,0.0321,0.9249,-1.2817,-209.7168,7.3242
332979483,-0.3237,0.0423,0.9286,0.0000,-262.8174,16.2964
332989492,-0.3459,0.0413,1.0624,18.1274,-416.2598,16.2964
332999482,-0.3212,0.0350,1.1198,52.4902,-549.0723,16.9067
333009482,-0.1728,0.0492,1.2428,111.0229,-767.4561,25.2075
333019482,-0.1308,0.0706,1.1801,155.7617,-858.5205,23.6206
333029482,0.2054,0.1002,0.9547,187.0117,-928.5889,51.5137
333039482,0.2935,0.1405,1.0458,185.7300,-952.4536,45.9595
333049482,0.3731,0.1312,0.8502,209.8389,-947.7539,65.6128
333059482,0.3983,0.1485,0.7077,216.1255,-965.3931,73.3032
333069483,0.3929,0.0431,0.3712,234.7412,-1002.4414,81.7871
333079482,0.5103,-0.0121,-0.0560,245.4224,-1026.1230,99.5483
333089482,0.6478,0.0518,-0.4369,215.3320,-1082.5195,123.4741
333099482,0.7286,0.0164,-0.5980,208.9844,-1094.6045,128.6011
333109482,0.8372,0.0174,-0.7840,195.1294,-1080.3833,144.8364
333119487,0.9481,0.0135,-0.9711,145.3247,-993.2861,147.3999
333129482,0.9871,0.0438,-0.9386,112.9761,-929.0161,139.8926
333139482,0.8353,0.0130,-0.8077,79.1626,-818.4204,111.9385
333149482,0.6688,-0.0072,-0.7804,68.4814,-757.7515,101.4404
333159487,0.6744,0.0099,-0.7948,67.7490,-715.6982,96.9238
333169477,0.6641,-0.0109,-0.7879,71.3501,-713.5620,80.6885
333179482,0.7649,0.0553,-0.7059,78.0640,-702.2705,62.1948
333189482,0.7630,0.0577,-0.7565,77.6978,-640.6250,36.4990
333199482,0.5823,-0.0390,-0.8219,65.0635,-473.6328,-15.4419
333209482,0.2737,-0.0722,-0.9554,43.7622,-342.9565,-41.9312
333219482,-0.4155,-0.2482,-1.0174,13.4277,-211.6699,-62.2559
333229482,-0.7719,-0.2719,-1.1107,13.7329,-181.9458,-42.4805
333239483,-0.7446,-0.2565,-1.3109,20.1416,-184.5093,11.7798
333249483,-0.5212,-0.1610,-1.3146,11.0474,-186.2183,37.8418
333259487,-0.1074,-0.0309,-1.0184,-3.2959,-126.2817,48.8281
333269482,0.1343,0.0179,-0.8783,-8.4229,-23.8037,34.8511
333279482,0.1780,0.0494,-0.9676,-29.1138,165.1001,-7.2021
333289482,-0.0830,0.0240,-0.8912,-37.1704,249.2676,-40.8936
333299482,-0.3088,-0.0539,-1.0365,-32.5928,344.5435,-49.4385
333309487,-0.3017,-0.0673,-1.2535,-36.8652,390.0146,-41.5649
333319482,-0.2163,-0.0880,-1.1898,-56.5796,452.6367,-33.9966
333329487,0.0096,-0.0500,-1.1761,-68.1152,527.2217,-23.1323
333339482,0.2068,-0.0087,-1.1871,-84.4116,616.6382,-24.4751
333349482,0.2571,-0.0321,-0.8678,-114.1968,767.9443,-41.2598
333359477,0.3213,-0.0036,-0.7118,-130.4321,890.6250,-38.9404
333369482,0.5482,-0.0002,-0.5414,-143.4937,1027.7710,-31.0059
333379482,0.6277,-0.0346,-0.2862,-146.6064,1078.5522,-28.3203
333389487,1.0577,0.0169,0.1918,-130.3101,1135.1318,-6.8359
333399505,1.4900,0.0509,0.2101,-109.6191,1190.4297,-0.9155
333409484,1.7291,0.0540,0.1063,-105.4688,1278.9917,-35.5225
333419482,1.5340,0.0589,0.1808,-120.9717,1306.4575,-60.5469
333429482,1.1741,0.1703,0.3952,-112.2437,1277.4048,-70.0073
333439482,0.9507,0.0902,0.3754,-93.3838,1186.4624,-70.1294
333449487,0.4808,-0.0592,0.6105,-79.1016,998.6572,-71.5332
333459487,0.2730,-0.0746,0.6889,-66.2842,873.5352,-53.7720
333469482,0.1973,-0.0885,0.7902,-48.6450,744.5068,-33.8745
333479483,0.2825,-0.0397,0.8519,-42.4805,710.2661,-24.9634
333489477,0.4461,0.0074,0.8876,-27.1606,703.4912,-24.8413
333499482,0.5220,-0.0019,0.7106,-19.9585,707.1533,-25.3296
333509483,0.6326,-0.0251,0.5158,-24.0479,699.0967,-38.2690
333519482,0.5977,0.0851,0.5206,-40.7104,648.5596,-55.6641
333529482,0.1207,0.0643,0.5700,-40.8936,509.0332,-90.6982
333539477,-0.2712,0.0440,0.6205,-38.0249,423.5840,-105.0415
333549482,-0.8994,-0.0829,0.5084,-30.0903,326.2329,-106.4453
333559482,-1.1652,-0.1464,0.5206,-40.4053,298.5229,-87.2803
333569482,-1.2353,-0.1393,0.6298,-53.1006,287.4146,-61.4014
333579482,-1.1960,-0.1183,0.8668,-53.4058,262.6343,-28.6865
333589482,-1.0505,-0.0717,0.9581,-42.2974,233.1543,-10.3760
333599477,-0.7631,-0.0470,0.9120,-21.7285,171.5698,1.0986
333609482,-0.6047,-0.0297,0.8073,-13.4277,136.6577,1.5259
333619482,-0.4680,-0.0036,0.7792,-14.2212,103.0273,-12.2681
333629482,-0.4533,0.0367,0.8163,-12.8784,83.6182,-24.8413
333639482,-0.6652,-0.0224,0.8129,2.2583,38.4521,-48.5840
333649482,-0.8845,-0.0924,0.7135,5.4932,18.4937,-51.2695
333659477,-1.1179,-0.1608,0.6845,-4.0283,2.0752,-34.2407
333669482,-1.0888,-0.1430,0.7106,-13.6719,8.5449,-16.7847
333679482,-0.9882,-0.0778,0.8808,-27.9541,25.6958,-2.1973
333689482,-1.0368,-0.0724,0.9457,-27.2217,26.3062,2.3193
333699482,-0.9977,-0.0312,0.9208,-18.2495,3.3569,16.6016
