t,ax,ay,az,gx,gy,gz
467901484,-0.1655,0.4396,0.3138,145.3247,49.3164,20.6909
467911484,0.0164,0.3151,-0.2734,-16.3574,171.2646,8.9722
467921480,0.1909,0.3215,-0.4118,-161.0718,260.9863,-16.9678
467931480,0.4126,0.2089,-0.3571,-364.8071,388.3057,-76.2939
467941534,0.3047,0.1467,-0.2292,-457.7026,430.9082,-120.3613
467951484,-0.0713,-0.2439,0.0394,-466.7358,381.6528,-200.8057
467961485,-0.3538,-0.5838,0.2142,-394.1650,282.7148,-236.5112
467971479,-0.7556,-0.8892,1.1439,-366.2109,33.9966,-227.6001
467981481,-1.2368,-0.7125,2.6883,-377.2583,-189.4531,-200.9277
467991479,-1.8328,-0.2122,5.2127,-36.0718,-531.1279,-85.6323
468001481,-1.5364,0.2333,5.3995,442.8711,-675.5371,41.5039
468011479,-0.9502,0.3945,4.1158,844.1772,-632.5073,157.8369
468021477,-1.1455,-0.2689,3.3841,875.0610,-567.0166,179.0771
468031480,-1.4971,-0.9405,2.4759,984.7412,-580.9937,209.8389
468041485,-1.2178,-1.0098,1.7191,1081.2378,-593.9941,246.6431
468051479,-0.3516,-0.8082,-0.2177,1096.9238,-469.2383,278.6255
468061480,0.4180,-0.8626,-2.2956,952.3926,-252.8687,260.8643
468071479,1.2698,-0.9549,-5.1970,344.4824,127.5635,182.0068
468081480,1.7515,-0.4827,-4.9870,-142.0288,312.5610,67.1387
468091484,1.2068,-0.2222,-2.4557,-650.7568,555.7251,-201.0498
468101481,0.4517,-0.3609,-1.2783,-811.4624,655.8838,-292.9687
468111484,-0.3518,-0.5042,-0.4514,-832.3364,683.5937,-314.6362
468121477,-1.0124,-0.8292,0.0755,-801.2085,634.3384,-344.4824
468131484,-1.3940,-0.9463,1.0770,-763.5498,489.4409,-313.2324
468141485,-1.2742,-0.3533,3.6929,-620.4224,156.4941,-192.6270
468151479,-1.0842,0.4641,5.5638,-382.3242,-114.7461,-103.6987
468161480,-0.5227,1.3684,5.9432,282.2876,-468.0786,9.4604
468171484,-0.2654,0.7478,4.8218,662.3535,-594.1162,-2.2583
468181480,-0.4521,-0.2703,3.4940,964.4165,-702.1484,-2.2583
468191484,-0.9368,-0.8819,2.6317,1096.6797,-719.2383,-4.6997
468201481,-1.8328,-1.4883,0.7718,1210.2661,-618.4082,11.9019
468211479,-1.6885,-1.4314,-1.5839,1144.5313,-362.4268,70.7397
468221482,-0.2524,-1.4361,-5.3122,483.4595,201.2939,164.0015
468231484,1.0110,-0.8699,-5.5353,-128.4790,490.7227,83.7402
468241484,1.0969,0.0353,-2.6711,-718.9941,773.1934,-184.7534
468251518,0.4631,-0.5984,-1.9492,-843.8721,891.4185,-355.1025
468261485,0.0608,-1.4473,-1.4059,-1025.1465,867.6147,-382.9346
468271479,-0.2512,-1.8631,-0.5273,-1103.5156,760.5591,-424.2554
468281480,-0.9741,-1.7889,1.6131,-1055.9692,464.3555,-412.9639
468291479,-1.3623,-1.2762,3.6541,-921.0815,192.1997,-315.7959
468301480,-1.9595,0.1845,6.5985,-365.1733,-282.7759,-155.2124
468311474,-1.5037,1.6691,6.9490,154.6021,-509.9487,-17.7002
468321481,-0.7441,1.0178,5.1798,708.4961,-604.5532,39.0625
468331479,-0.7873,-0.1490,4.1282,935.9741,-663.4521,39.0015
468341480,-1.5166,-1.3282,2.7496,1231.3843,-821.1670,57.1899
468351474,-2.1560,-2.0984,1.6573,1360.7178,-834.4116,50.8423
468361480,-2.2576,-1.9732,-0.7465,1364.3799,-647.5830,120.6055
468371474,-0.9231,-2.3714,-6.1122,743.7744,16.0522,230.8960
468381480,0.8149,-2.2964,-7.8574,-9.7656,453.0640,148.1323
468391479,1.9810,-0.7664,-3.6901,-977.7832,850.5249,-163.1470
468401481,1.1155,-0.8890,-1.3210,-1235.1685,978.5156,-419.3726
468411479,-0.4228,-2.3240,-1.1083,-1180.9082,966.7358,-512.0239
468421481,-1.5491,-3.2652,-0.4535,-1162.5977,819.0308,-590.2710
468431480,-2.9807,-3.0503,3.2440,-1203.3081,445.2515,-518.6768
468441480,-3.7139,-1.6934,6.8004,-945.5566,111.0229,-289.6118
468451479,-2.8975,1.1088,7.9500,6.9580,-357.5439,4.0283
468461481,-0.7556,1.6987,6.4886,559.9365,-522.1558,161.4990
468471474,-0.6548,-0.5189,4.1583,1019.5312,-683.1665,74.1577
468481481,-1.2429,-1.4961,3.2955,1210.9985,-819.6411,87.5854
468491479,-1.9487,-2.0462,2.3123,1339.7827,-945.1294,91.0645
468501481,-1.4756,-1.8978,1.4232,1379.0894,-957.5195,168.6401
468511479,-1.5730,-1.8494,-1.3290,1339.6606,-766.0522,138.7939
468521481,-1.5261,-2.0782,-4.4777,1051.0254,-390.1978,128.4790
468531480,0.2695,-1.8218,-7.6835,58.1055,307.5562,129.1504
468541477,1.0750,-0.9783,-5.7924,-630.4932,674.3164,-57.9834
468551479,0.2764,-1.4070,-2.2162,-1213.0127,982.7881,-385.9863
468561480,-0.5139,-2.1924,-1.3615,-1339.2944,1021.8506,-439.2700
468571474,-1.7224,-3.1963,-0.1943,-1337.3413,900.6958,-474.6094
468581480,-2.1682,-3.0740,1.5130,-1327.4536,727.9663,-442.0166
468591479,-2.5244,-2.5887,4.0457,-1242.9810,520.2637,-331.6650
468601480,-3.1228,-0.3133,7.9500,-694.2139,24.2310,-136.7187
468611479,-2.1904,1.3259,7.9500,-25.7568,-326.6602,62.8052
468621485,0.2376,1.0141,5.9586,806.3965,-636.6577,121.5820
468631484,-0.1038,-0.6131,4.4627,1135.7422,-815.6738,55.1147
468641485,-1.2971,-1.8804,3.3778,1416.6870,-1043.0908,-6.7749
468651519,-1.9683,-2.5113,2.5076,1484.8633,-1051.3306,-26.8555
468661480,-2.5718,-2.3807,-0.7436,1437.6221,-809.9365,62.2559
468671474,-2.3586,-2.5657,-4.5385,1134.0332,-402.8320,112.1216
468681480,-0.1162,-2.2747,-7.9872,76.6602,348.8770,148.8647
468691479,0.8211,-1.1626,-5.9933,-678.1006,731.8726,-34.4849
468701485,0.0454,-1.4705,-1.8747,-1277.5269,1030.5176,-359.6191
468711479,-0.7510,-2.2662,-0.9772,-1395.3857,1077.8809,-390.1367
468721480,-1.9939,-3.2605,-0.0085,-1385.1929,975.7690,-433.5327
468731479,-2.2524,-2.7366,1.4717,-1372.2534,869.7510,-371.3379
468741480,-3.4768,-2.4903,4.5472,-1179.7485,613.1592,-300.2930
468751484,-3.9634,-0.9871,7.2171,-812.9883,214.3555,-148.9258
468761481,-1.5264,1.5278,7.9500,130.4321,-434.9365,197.2656
468771479,1.0515,1.2954,5.9486,832.5806,-693.1763,229.3091
