t,ax,ay,az,gx,gy,gz
680619476,-0.1457,0.1326,0.9706,0.4272,7.8735,-5.3711
680629477,-0.1811,0.1311,0.9594,-0.7935,7.5073,-3.9062
680639471,-0.2042,0.1177,0.9391,-5.0659,8.1177,2.0142
680649478,-0.1920,0.1140,0.9503,-9.9487,7.3242,6.2866
680659481,-0.1559,0.1277,0.9777,-13.8550,7.3242,10.4370
680669478,-0.1242,0.1343,0.9982,-13.9160,7.3242,11.5356
680679476,-0.0858,0.1409,1.0116,-10.8032,8.1177,10.0098
680689477,-0.0692,0.1526,1.0219,-7.3242,10.0708,7.4463
680699476,-0.0700,0.1812,0.9979,-3.7231,16.2964,2.6855
680709477,-0.1029,0.2144,0.9813,-0.3662,20.2026,-2.7466
680719476,-0.2260,0.2215,0.9518,6.4087,24.5972,-16.3574
680729478,-0.3041,0.1758,0.9039,14.4043,29.7852,-22.5830
680739481,-0.3803,0.0491,0.8353,21.2402,39.3677,-27.2217
680749484,-0.5663,-0.2473,0.6998,27.8931,62.6221,-36.4380
680759476,-0.8432,-0.4621,0.5890,28.2593,76.5381,-42.5415
680769478,-1.6625,-0.7153,0.5204,31.4941,79.4678,-58.1055
680779476,-2.4589,-0.8613,0.5304,35.7666,57.1899,-54.8096
680789477,-3.8161,-1.0896,0.6049,47.9126,-6.4697,23.9868
680799476,-4.1657,-1.3064,0.5065,43.5791,-51.7578,166.2598
680809482,-3.5932,-2.0940,0.1510,-23.9258,-36.4380,462.5244
680819477,-2.9198,-2.1345,0.0272,-121.9482,6.2866,632.9346
680829478,-1.6444,-2.2395,0.0082,-227.9663,32.8369,781.4331
680839476,-1.0246,-2.4736,0.0831,-252.4414,29.6631,805.0537
680849477,-0.3146,-2.8674,0.6117,-279.3579,20.3247,789.2456
680859476,0.1622,-3.1118,1.0390,-273.8037,17.2119,784.9121
680869474,1.2113,-3.0439,1.9047,-280.2734,23.7427,774.1699
680879471,2.1329,-2.4236,2.4616,-306.5186,35.8887,772.7661
680889481,3.4391,-1.4678,2.6098,-260.2539,46.5088,691.2842
680899479,3.9066,-0.8852,2.3954,-167.9077,70.0073,578.7354
680909482,3.2877,-0.7297,1.8568,-42.4194,98.3276,315.7959
680919477,2.5165,-0.8576,1.5827,4.3945,93.8721,214.4775
680929477,1.8700,-0.9753,1.5595,-19.5923,61.8286,153.2593
680939477,1.9232,-0.9785,1.7636,-56.0303,32.5317,144.2871
680949482,2.5848,-0.8420,2.0202,-69.5801,-3.5400,137.0850
680959479,3.0414,-0.7156,2.0011,-45.7153,-10.8032,90.0879
680969478,3.3080,-0.6284,1.8954,-15.6860,-7.0801,24.1089
680979478,3.2564,-0.5205,1.6845,34.4849,0.5493,-107.2998
680989477,2.9723,-0.5945,1.5194,67.9321,-4.0283,-206.6650
680999478,2.3023,-0.8955,1.2318,116.3330,-26.2451,-332.7637
681009477,1.8749,-0.9099,1.1647,127.8687,-47.4854,-388.8550
681019477,1.4649,-1.1113,1.2255,107.1167,-82.1533,-450.3784
681029483,1.2652,-1.2073,1.3363,88.1958,-95.5811,-473.2056
681039482,1.0221,-1.2851,1.6222,68.8477,-96.3745,-492.7368
681049477,0.8839,-1.3240,1.7357,70.6787,-75.3784,-494.2017
681059477,0.6927,-1.3923,1.6662,78.0640,-23.5596,-475.5249
681069482,0.5707,-1.4221,1.5329,91.4917,6.5918,-468.9331
681079473,0.3585,-1.4319,1.3617,102.7222,31.4331,-473.5718
681089477,0.2101,-1.4538,1.3202,101.7456,33.6914,-481.6284
681099477,0.0011,-1.4665,1.3371,118.8354,13.5498,-494.2627
681109477,-0.1266,-1.4617,1.3344,144.9585,-7.2632,-506.0425
681119482,-0.2714,-1.5039,1.1881,194.3359,-35.2173,-525.2686
