t,ax,ay,az,gx,gy,gz
149876486,0.1813,-0.3886,1.0822,15.3809,-8.3008,-50.8423
149886488,0.1830,-0.4018,1.0974,6.1035,-10.3149,-52.4902
149896483,0.1869,-0.3928,1.1306,5.9204,-10.5591,-50.4150
149906485,0.1925,-0.4030,1.1201,21.1182,-7.9956,-47.9126
149916484,0.1732,-0.4077,1.0478,30.8228,-4.8218,-46.1426
149926484,0.1718,-0.4008,0.9760,25.5737,-6.4087,-42.4805
149936483,0.1908,-0.3950,0.9795,16.7236,-7.7515,-43.3960
149946538,0.1713,-0.4064,1.0207,13.7939,-5.9814,-49.6826
149956484,0.1383,-0.4182,1.0210,17.0898,-5.6152,-52.8564
149966484,0.1164,-0.4118,1.0073,20.9961,-6.4697,-50.7813
149976483,0.1300,-0.4023,1.0063,18.6768,-8.5449,-49.0723
149986485,0.1356,-0.3984,1.0373,7.7515,-8.7280,-46.9971
149996483,0.1339,-0.3935,1.0688,2.5635,-8.2397,-44.7388
150006486,0.1747,-0.3825,1.0905,-1.8311,-9.3384,-39.3677
150016484,0.1723,-0.3933,1.0993,-5.9814,-6.3477,-40.2832
150026484,0.1569,-0.4201,1.1010,-12.2681,-3.7231,-44.2505
150036483,0.1486,-0.4289,1.1762,-21.6675,-1.7700,-42.5415
150046485,0.1195,-0.4494,1.2382,-19.1650,1.7090,-40.6494
150056484,0.0768,-0.4926,1.3278,-9.0942,-2.5635,-41.6870
150066484,0.0546,-0.5275,1.3925,-4.6387,-6.8970,-42.1143
150076483,0.0224,-0.5578,1.4409,4.3335,-14.9536,-36.9873
150086486,0.0233,-0.5686,1.4763,9.3994,-22.7661,-34.2407
150096484,0.0253,-0.6137,1.6028,9.7046,-30.6396,-38.3301
150106485,0.0199,-0.6506,1.6731,13.9771,-32.4707,-41.0767
150116483,0.0351,-0.7026,1.8466,20.6909,-35.4004,-29.1138
150126484,0.0297,-0.7390,1.9113,28.7476,-33.0811,-26.4893
150136483,0.0292,-0.7666,1.9890,52.4902,-33.4473,-22.0337
150146486,0.0419,-0.8217,2.0820,67.9932,-40.7715,-23.0713
150156484,0.0439,-0.8759,2.2168,92.8955,-48.7671,-34.9731
150166481,0.0490,-0.9216,2.2844,109.2529,-51.4526,-35.2173
150176483,0.1086,-1.0419,2.3237,135.1318,-47.8516,-30.3955
150186486,0.1271,-1.1491,2.3222,154.1138,-34.8511,-31.7993
150196484,0.0519,-1.3007,2.3833,177.2461,-4.2114,-33.5693
150206479,-0.0355,-1.3996,2.4570,195.2515,11.4136,-27.1606
150216484,-0.0103,-1.4775,2.5459,245.3003,18.3716,-3.7231
150226490,0.0946,-1.4643,2.5400,292.5415,22.0337,18.3105
150236480,0.3322,-1.4140,2.4084,360.5957,23.9868,38.2690
150246502,0.4135,-1.3217,2.1677,414.1235,26.8555,35.4004
150256483,0.4103,-1.2463,1.8073,471.1914,21.7896,23.2544
150266484,0.3520,-1.1027,1.3611,531.9214,2.1973,-7.4463
150276484,0.3388,-1.0136,1.2851,547.7905,-11.9019,-22.7051
150286485,0.4289,-0.9064,1.2871,592.1021,-13.7939,-27.0386
150296483,0.5710,-0.8637,1.0947,647.2168,-3.2959,-11.8408
150306485,0.6967,-0.8647,0.6589,715.3931,2.2583,-31.3110
